Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
359315;Nordea Generationsfond 60-tal;    143,88;  143,88;2019-05-14
287656;Nordea Generationsfond 70-tal;    145,41;  145,41;2019-05-14
215996;Nordea Generationsfond 80-tal;    138,73;  138,73;2019-05-14
596429;Nordea Generationsfond 90-tal;    171,96;  171,96;2019-05-14
502633;Nordea Generationsfond Senior;     82,96;   82,96;2019-05-14
167239;Nordea Nya Tillväxtmarknader;    105,25;  105,25;2019-05-14
648964;Nordea Obligationsfond;    132,67;  132,67;2019-05-14
613133;Nordea Swedish Bond Stars;    100,23;  100,23;2019-05-14
203067;Nordea Swedish Stars;   2809,64; 2809,64;2019-05-14
133116;Norron Sicav-Target;    134,62;  134,62;2019-05-14
419101;Odin Emerging Markets;    315,04;  314,89;2019-05-14
526590;Odin Energi;    171,27;  171,19;2019-05-14
280867;Odin Europa;    202,38;  202,29;2019-05-14
634386;Odin Finland;  10202,13;10197,49;2019-05-14
562421;Odin Global;    307,35;  307,21;2019-05-14
598557;Odin Norden;   2770,50; 2769,24;2019-05-14
562728;Odin Norge;   3868,87; 3867,11;2019-05-14
450981;Odin Sverige;   5369,49; 5367,04;2019-05-14
443309;OPM Global Quality Companies;    142,08;  142,08;2019-05-13
341362;OPM Listed Private Equity;    328,10;  328,10;2019-05-13
167643;Pareto Global;   2325,69; 2325,69;2019-05-13
606103;Pareto Global Corporate Bond;    105,67;  105,67;2019-05-13
917955;Pictet Asian Equities (Ex Japan);   2137,10; 2136,65;2019-05-14
260919;Pictet Biotech;   5697,68; 5696,49;2019-05-14
887497;Pictet Clean Energy;    761,26;  761,10;2019-05-14
296749;Pictet Digital;   3081,54; 3080,90;2019-05-14
368407;Pictet Emerging Europe;   3266,91; 3266,30;2019-05-14
404236;Pictet Emerging Markets;   4772,35; 4771,36;2019-05-14
280925;Pictet EUR Bonds;   5840,20; 5839,12;2019-05-13
352583;Pictet EUR Corporate Bonds;   2064,32; 2063,94;2019-05-13
